iter	Passed	Remaining
0	139	139849
1	143	71752
2	147	48855
3	150	37368
4	153	30558
5	157	26080
6	161	22938
7	164	20431
8	167	18458
9	170	16893
10	174	15689
11	178	14707
12	183	13896
13	187	13182
14	192	12616
15	196	12111
16	202	11710
17	206	11283
18	209	10815
19	212	10401
20	215	10054
21	219	9749
22	223	9476
23	226	9230
24	230	8991
25	234	8769
26	236	8524
27	238	8276
28	240	8060
29	244	7896
30	248	7762
31	251	7620
32	255	7490
33	260	7390
34	264	7279
35	267	7150
36	270	7042
37	274	6943
38	278	6855
39	281	6765
40	283	6636
41	285	6501
42	287	6407
43	290	6322
44	293	6229
45	297	6162
46	300	6090
47	303	6024
48	308	5981
49	311	5917
50	315	5864
51	318	5810
52	321	5750
53	324	5684
54	326	5605
55	329	5552
56	332	5502
57	336	5466
58	340	5425
59	343	5381
60	346	5333
61	349	5293
62	353	5251
63	356	5213
64	359	5171
65	363	5141
66	366	5106
67	369	5065
68	373	5035
69	376	4998
70	380	4982
71	385	4973
72	391	4965
73	393	4921
74	395	4874
75	396	4823
76	398	4778
77	400	4733
78	402	4689
79	403	4645
80	405	4605
81	408	4568
82	409	4523
83	411	4487
84	413	4447
85	414	4407
86	416	4367
87	418	4334
88	419	4295
89	421	4264
90	423	4231
91	425	4198
92	427	4165
93	428	4134
94	430	4103
95	432	4072
96	434	4041
97	435	4008
98	437	3985
99	439	3957
100	441	3928
101	443	3900
102	444	3874
103	446	3846
104	448	3820
105	449	3794
106	452	3772
107	454	3751
108	456	3727
109	457	3704
110	459	3682
111	461	3657
112	462	3632
113	463	3606
114	465	3579
115	466	3553
116	467	3527
117	468	3503
118	470	3482
119	471	3460
120	473	3439
121	474	3415
122	475	3393
123	477	3373
124	478	3350
125	480	3330
126	481	3306
127	482	3288
128	484	3268
129	485	3249
130	486	3230
131	488	3212
132	489	3192
133	490	3172
134	491	3152
135	493	3132
136	494	3115
137	495	3097
138	497	3079
139	498	3060
140	499	3041
141	499	3020
142	501	3002
143	502	2985
144	503	2967
145	504	2949
146	505	2931
147	506	2914
148	507	2896
149	508	2879
150	509	2861
151	510	2845
152	511	2830
153	512	2815
154	513	2799
155	514	2784
156	515	2768
157	516	2752
158	517	2737
159	518	2721
160	519	2704
161	520	2690
162	521	2675
163	522	2662
164	523	2649
165	524	2635
166	525	2622
167	527	2611
168	529	2601
169	530	2589
170	531	2578
171	533	2567
172	534	2555
173	535	2542
174	536	2530
175	538	2518
176	539	2507
177	540	2494
178	541	2482
179	542	2470
180	543	2459
181	544	2446
182	545	2434
183	546	2423
184	547	2411
185	548	2400
186	549	2389
187	550	2379
188	552	2369
189	553	2358
190	554	2347
191	555	2336
192	556	2325
193	557	2315
194	558	2307
195	560	2297
196	561	2288
197	562	2278
198	564	2270
199	565	2260
200	566	2251
201	568	2243
202	569	2234
203	570	2225
204	571	2215
205	572	2207
206	574	2200
207	575	2191
208	576	2181
209	577	2172
210	578	2163
211	579	2154
212	580	2145
213	581	2137
214	583	2129
215	584	2121
216	585	2113
217	586	2105
218	588	2097
219	589	2090
220	591	2085
221	593	2078
222	594	2071
223	596	2065
224	597	2057
225	598	2049
226	599	2041
227	600	2033
228	601	2025
229	602	2017
230	603	2008
231	604	2002
232	606	1997
233	608	1991
234	609	1985
235	611	1979
236	612	1972
237	614	1965
238	615	1958
239	616	1951
240	617	1943
241	618	1936
242	619	1930
243	621	1925
244	622	1918
245	623	1912
246	624	1905
247	626	1898
248	627	1892
249	628	1885
250	629	1878
251	631	1873
252	632	1867
253	633	1861
254	635	1856
255	637	1851
256	638	1847
257	640	1840
258	641	1835
259	642	1829
260	643	1823
261	645	1817
262	646	1812
263	647	1805
264	648	1799
265	650	1793
266	651	1788
267	652	1783
268	654	1777
269	655	1771
270	656	1766
271	658	1761
272	659	1755
273	660	1750
274	661	1743
275	662	1738
276	664	1733
277	665	1728
278	666	1723
279	668	1719
280	670	1714
281	671	1710
282	673	1705
283	674	1699
284	675	1693
285	676	1687
286	676	1681
287	677	1675
288	678	1670
289	680	1666
290	682	1662
291	684	1658
292	684	1652
293	686	1647
294	687	1642
295	688	1636
296	689	1631
297	690	1625
298	691	1620
299	692	1615
300	693	1609
301	694	1604
302	695	1600
303	697	1597
304	699	1592
305	700	1588
306	701	1583
307	702	1578
308	704	1574
309	705	1571
310	707	1566
311	708	1561
312	709	1556
313	710	1551
314	711	1547
315	713	1544
316	714	1539
317	715	1535
318	717	1531
319	719	1527
320	720	1523
321	721	1519
322	722	1514
323	723	1510
324	725	1505
325	726	1501
326	727	1497
327	729	1493
328	730	1489
329	731	1485
330	732	1480
331	733	1476
332	735	1472
333	736	1468
334	737	1463
335	738	1458
336	739	1454
337	740	1450
338	741	1446
339	743	1442
340	744	1438
341	745	1434
342	746	1429
343	747	1425
344	748	1420
345	749	1416
346	750	1411
347	751	1407
348	752	1403
349	753	1399
350	754	1395
351	755	1391
352	757	1387
353	758	1384
354	759	1380
355	761	1376
356	762	1373
357	763	1369
358	764	1365
359	766	1361
360	767	1358
361	768	1355
362	770	1352
363	772	1349
364	774	1346
365	775	1342
366	776	1338
367	777	1334
368	778	1330
369	778	1326
370	780	1323
371	781	1320
372	783	1316
373	784	1313
374	786	1310
375	787	1307
376	789	1304
377	790	1300
378	791	1296
379	792	1292
380	793	1289
381	794	1285
382	795	1282
383	796	1278
384	798	1274
385	799	1271
386	800	1267
387	801	1264
388	802	1260
389	803	1256
390	804	1253
391	805	1249
392	806	1246
393	808	1243
394	809	1240
395	810	1236
396	812	1233
397	813	1230
398	814	1227
399	815	1223
400	816	1220
401	818	1216
402	819	1213
403	820	1210
404	821	1206
405	822	1202
406	823	1199
407	824	1195
408	825	1192
409	826	1188
410	827	1185
411	828	1181
412	829	1178
413	829	1174
414	831	1171
415	832	1168
416	833	1164
417	834	1162
418	836	1159
419	837	1156
420	838	1153
421	839	1150
422	840	1147
423	842	1144
424	843	1141
425	845	1139
426	847	1136
427	848	1134
428	850	1132
429	852	1129
430	853	1127
431	854	1123
432	855	1120
433	856	1117
434	858	1114
435	859	1111
436	860	1109
437	862	1106
438	864	1104
439	865	1102
440	867	1099
441	868	1096
442	869	1093
443	871	1090
444	872	1088
445	873	1085
446	875	1082
447	876	1080
448	878	1077
449	880	1076
450	882	1073
451	883	1071
452	885	1069
453	886	1066
454	888	1064
455	890	1062
456	891	1059
457	893	1057
458	895	1054
459	896	1052
460	897	1049
461	898	1046
462	899	1043
463	901	1041
464	902	1038
465	903	1035
466	904	1032
467	906	1030
468	907	1027
469	909	1025
470	910	1022
471	911	1019
472	913	1017
473	914	1014
474	915	1011
475	916	1008
476	917	1006
477	918	1003
478	919	1000
479	920	997
480	922	995
481	923	992
482	924	989
483	925	987
484	926	984
485	928	982
486	929	979
487	931	976
488	932	974
489	933	971
490	934	969
491	935	966
492	937	963
493	938	961
494	940	959
495	941	956
496	942	953
497	943	951
498	945	949
499	946	946
500	947	944
501	949	941
502	950	939
503	951	936
504	952	933
505	954	931
506	955	929
507	957	927
508	958	924
509	959	922
510	961	919
511	962	917
512	963	914
513	964	912
514	965	909
515	967	907
516	968	904
517	969	902
518	971	900
519	973	898
520	974	896
521	976	893
522	977	891
523	979	889
524	980	887
525	981	884
526	983	882
527	984	880
528	985	877
529	987	875
530	989	873
531	990	871
532	992	869
533	993	867
534	994	864
535	996	862
536	997	860
537	999	858
538	1001	856
539	1003	854
540	1004	852
541	1006	850
542	1007	848
543	1009	845
544	1010	843
545	1011	840
546	1012	838
547	1014	836
548	1015	834
549	1016	831
550	1018	829
551	1019	827
552	1021	825
553	1022	823
554	1024	821
555	1026	819
556	1028	817
557	1029	815
558	1031	813
559	1033	811
560	1034	809
561	1036	807
562	1037	805
563	1039	803
564	1040	801
565	1041	798
566	1043	796
567	1044	794
568	1046	792
569	1047	790
570	1049	788
571	1050	785
572	1051	783
573	1053	781
574	1054	779
575	1055	777
576	1057	775
577	1059	773
578	1060	771
579	1062	769
580	1064	767
581	1066	765
582	1067	763
583	1069	761
584	1071	759
585	1072	757
586	1073	755
587	1075	753
588	1077	751
589	1079	750
590	1080	747
591	1082	745
592	1083	743
593	1084	741
594	1085	739
595	1087	736
596	1088	734
597	1089	732
598	1090	729
599	1092	728
600	1094	726
601	1096	724
602	1097	722
603	1098	720
604	1099	718
605	1101	715
606	1102	713
607	1103	711
608	1105	709
609	1107	707
610	1108	705
611	1109	703
612	1111	701
613	1113	699
614	1115	698
615	1116	696
616	1118	694
617	1120	692
618	1121	690
619	1123	688
620	1125	686
621	1127	685
622	1129	683
623	1130	681
624	1132	679
625	1133	677
626	1135	675
627	1136	673
628	1138	671
629	1140	669
630	1142	667
631	1143	665
632	1145	664
633	1146	662
634	1148	660
635	1150	658
636	1152	656
637	1154	654
638	1155	652
639	1157	651
640	1159	649
641	1161	647
642	1162	645
643	1164	643
644	1166	641
645	1167	639
646	1169	638
647	1171	636
648	1172	634
649	1174	632
650	1176	630
651	1177	628
652	1179	626
653	1180	624
654	1182	622
655	1184	621
656	1185	619
657	1187	617
658	1189	615
659	1190	613
660	1192	611
661	1193	609
662	1194	607
663	1195	605
664	1197	603
665	1198	601
666	1200	599
667	1201	597
668	1203	595
669	1204	593
670	1206	591
671	1207	589
672	1209	587
673	1210	585
674	1211	583
675	1213	581
676	1214	579
677	1215	577
678	1217	575
679	1218	573
680	1220	571
681	1221	569
682	1223	567
683	1225	566
684	1226	564
685	1228	562
686	1230	560
687	1231	558
688	1232	556
689	1236	555
690	1238	553
691	1240	552
692	1241	550
693	1243	548
694	1245	546
695	1247	544
696	1249	543
697	1250	541
698	1252	539
699	1253	537
700	1254	534
701	1255	532
702	1256	530
703	1258	529
704	1260	527
705	1261	525
706	1262	523
707	1263	521
708	1264	519
709	1266	517
710	1266	514
711	1268	512
712	1269	510
713	1270	508
714	1271	506
715	1272	504
716	1274	502
717	1275	500
718	1276	498
719	1277	496
720	1279	495
721	1281	493
722	1282	491
723	1283	489
724	1285	487
725	1286	485
726	1287	483
727	1289	481
728	1291	479
729	1292	478
730	1293	476
731	1294	474
732	1296	472
733	1297	470
734	1299	468
735	1300	466
736	1301	464
737	1302	462
738	1303	460
739	1304	458
740	1306	456
741	1307	454
742	1308	452
743	1309	450
744	1310	448
745	1311	446
746	1313	444
747	1314	442
748	1315	440
749	1316	438
750	1317	436
751	1318	434
752	1319	432
753	1321	430
754	1321	428
755	1323	427
756	1324	425
757	1325	423
758	1326	421
759	1327	419
760	1327	417
761	1329	415
762	1330	413
763	1331	411
764	1332	409
765	1333	407
